Comment,Designator,Footprint,LCSC
L_Small,L1,L_0805_2012Metric,C1046
10k,"RV1,RV2",Potentiometer_Bourns_3266W_Vertical,C118956
470n,C21,C_0805_2012Metric,C13967
100n,"C1,C11,C12,C16,C18,C31,C34,C35,C36,C37,C38,C4,C6",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
100k,R17,R_0805_2012Metric,C149504
1u,"C17,C19,C20,C24,C27,C28,C29",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849
10u,"C10,C13,C14,C2,C25,C26,C3,C32,C33,C5,C9",C_0805_2012Metric,C15850
47n,C30,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1622
15p,"C15,C8",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1644
150k,R15,R_0805_2012Metric,C17470
1k,R19,R_0805_2012Metric,C17513
2k2,R13,R_0805_2012Metric,C17520
MMBT3904,"Q1,Q2",SOT-23,C20526
1Meg,"R16,R7",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22935
LED_Small,"D1,D2,D4",LED_0805_2012Metric,C2297
300,"R10,R5,R9",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23025
5k1,"R1,R12,R14,R3",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23186
10k,"R11,R2,R4",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804
TS5A63157DBV,"U11,U12,U8,U9",SOT-23-6,C2673185
ESP32-A1S,U2,ESP32-A1S,C277945
SA818S,"U13,U14",SA818S,C3001549
MCU_RESET,SW1,PTS526SK15SMTR2LFS,C318884
USB_C_Receptacle,J6,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C319148
AMS1117-3.3,U3,SOT-223-3_TabPin2,C347222
LM386,U10,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,C383071
MAX9814,U7,DFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm,C41714
2u2,C22,C_0805_2012Metric,C49217
CH340C,U1,SOIC-16_3.9x9.9mm_P1.27mm,C84681
SRV05-4,U5,SOT-23-6,C85364
PCA9554APW,U4,TSSOP-16_4.4x5mm_P0.65mm,C86803
Conn_01x03,J5,PinHeader_1x03_P2.54mm_Vertical,
DNP,C7,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
Conn_01x03,J3,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J2,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x04,J7,PinHeader_1x04_P2.54mm_Vertical,
10,R20,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
SMA,J15,SMA_Amphenol_901-144_Vertical,
Conn_01x03,J4,PinHeader_1x03_P2.54mm_Vertical,
SMA,J14,SMA_Amphenol_901-144_Vertical,
Conn_01x06,J1,PinHeader_1x06_P2.54mm_Vertical,
Jumper_3_Bridged12,JP1,PinHeader_1x03_P2.54mm_Vertical,
MH2029-401Y,FB2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
Conn_01x02,J9,PinHeader_1x02_P2.54mm_Vertical,
LFCN-160,FL2,Filter_Mini-Circuits_FV1206,
D_Small,D3,D_SOD-123,
LFCN-160,FL1,Filter_Mini-Circuits_FV1206,
