Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,89.25,-59.0,90.0,top
C2,10u,C_0805_2012Metric,87.5,-59.0,90.0,top
C3,10u,C_0805_2012Metric,85.5,-59.0,90.0,top
C4,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,137.2875,-79.8,180.0,top
C5,10u,C_0805_2012Metric,137.35,-77.95,180.0,top
C6,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131.5,-85.2,180.0,top
C7,DNP,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,128.0,-61.75,90.0,top
C8,15n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,126.25,-61.75,90.0,top
C9,10u,C_0805_2012Metric,74.6,-64.1,90.0,top
C10,10u,C_0805_2012Metric,82.5,-59.25,180.0,top
C11,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,129.3625,-67.0,180.0,top
C12,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,119.5,-72.15,0.0,top
C13,10u,C_0805_2012Metric,67.95,-78.9,-90.0,top
C14,10u,C_0805_2012Metric,66.95,-81.65,0.0,top
C15,15p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,139.25,-92.78,0.0,top
C16,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,69.7,-74.0125,90.0,top
C17,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100.6,-84.8,-90.0,top
C18,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,75.7,-72.15,180.0,top
C19,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,116.4,-81.2,-90.0,top
C20,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,96.4,-97.2625,90.0,top
C21,470n,C_0805_2012Metric,75.55,-77.45,0.0,top
C22,2u2,C_0805_2012Metric,67.1,-76.1,180.0,top
C24,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,117.3375,-95.8,0.0,top
C25,10u,C_0805_2012Metric,112.6,-97.0,-90.0,top
C26,10u,C_0805_2012Metric,114.6,-97.0,-90.0,top
C27,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,114.6,-81.2,90.0,top
C28,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,107.8,-92.6,180.0,top
C29,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,119.2,-89.6,0.0,top
C30,47n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,110.6,-89.25,90.0,top
C31,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,74.1625,-57.55,180.0,top
C32,10u,C_0805_2012Metric,74.1,-59.35,180.0,top
C33,10u,C_0805_2012Metric,125.85,-89.85,180.0,top
C34,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,125.8,-88.0,0.0,top
C35,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,103.2,-85.6,-90.0,top
C36,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,104.75,-90.0,-90.0,top
C37,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,114.1,-69.2,180.0,top
C38,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,69.7,-86.35,-90.0,top
D1,LED_Small,LED_0805_2012Metric,130.6,-71.2875,90.0,top
D2,LED_Small,LED_0805_2012Metric,128.55,-71.25,90.0,top
D3,D_Small,D_SOD-123,143.8,-88.8,90.0,bottom
D4,LED_Small,LED_0805_2012Metric,117.18,-60.535,180.0,top
FB2,MH2029-401Y,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,122.85,-90.0,90.0,top
FID1,Fiducial,Fiducial_0.5mm_Mask1mm,146.2,-64.8,0.0,top
FL1,LFCN-160,Filter_Mini-Circuits_FV1206,56.2,-65.8,315.0,bottom
FL2,LFCN-160,Filter_Mini-Circuits_FV1206,143.8,-82.6,135.0,bottom
J1,Conn_01x06,PinHeader_1x06_P2.54mm_Vertical,82.25,-93.4,90.0,top
J2,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,99.0,-94.0,90.0,top
J3,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,111.6,-84.8,90.0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,85.35,-88.05,180.0,top
J5,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,73.2,-95.4,-90.0,top
J6,USB_C_Receptacle,USB_C_Receptacle_HRO_TYPE-C-31-M-12,131.5,-96.81,180.0,top
J7,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,106.6,-97.6,-90.0,top
J8,RFShield_OnePiece,Wuerth_36103205_20x20mm,72.0,-79.25,0.0,top
J9,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,147.4,-86.86,0.0,top
J14,SMA,SMA_Amphenol_901-144_Vertical,55.05,-75.0,0.0,top
J15,SMA,SMA_Amphenol_901-144_Vertical,144.95,-75.0,180.0,top
JP1,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,94.94,-87.6,-90.0,top
L1,L_Small,L_0805_2012Metric,66.05,-78.9,-90.0,top
Q1,MMBT3904,SOT-23,132.75,-62.25,270.0,top
Q2,MMBT3904,SOT-23,132.75,-66.25,90.0,top
R1,5k1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,90.74,-84.8,0.0,top
R2,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,130.25,-64.25,-90.0,top
R3,5k1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,94.14,-84.8,0.0,top
R4,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,135.25,-64.25,-90.0,top
R5,300,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,120.8,-60.6,180.0,top
R7,1Meg,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,124.6,-63.2,-90.0,top
R9,300,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,130.35,-74.75,90.0,top
R10,300,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,128.75,-74.75,90.0,top
R11,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,129.35,-68.55,180.0,top
R12,5k1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,139.25,-97.87,0.0,top
R13,2k2,R_0805_2012Metric,76.7,-74.7,90.0,top
R14,5k1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,139.25,-96.25,0.0,top
R15,150k,R_0805_2012Metric,74.69,-74.65,-90.0,top
R16,1Meg,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,139.25,-94.5,180.0,top
R17,100k,R_0805_2012Metric,72.7,-74.0625,90.0,top
R19,1k,R_0805_2012Metric,75.5375,-79.45,0.0,top
R20,10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,110.4,-93.4,-90.0,top
RV1,10k,Potentiometer_Bourns_3266W_Vertical,113.225,-78.0,180.0,top
RV2,10k,Potentiometer_Bourns_3266W_Vertical,120.775,-93.275,90.0,top
SW1,MCU_RESET,PTS526SK15SMTR2LFS,131.75,-56.25,180.0,top
U1,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,137.55,-85.8,270.0,top
U2,ESP32-A1S,ESP32-A1S,90.95,-58.1,0.0,top
U3,AMS1117-3.3,SOT-223-3_TabPin2,80.4,-64.4,180.0,top
U4,PCA9554APW,TSSOP-16_4.4x5mm_P0.65mm,121.5,-68.5,90.0,top
U5,SRV05-4,SOT-23-6,131.45,-89.7,180.0,top
U7,MAX9814,DFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm,71.2,-77.65,270.0,top
U8,TS5A63157DBV,SOT-23-6,106.25,-84.75,0.0,top
U9,TS5A63157DBV,SOT-23-6,107.5,-89.5,270.0,top
U10,LM386,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,114.25,-91.25,180.0,top
U11,TS5A63157DBV,SOT-23-6,66.7,-85.35,180.0,top
U12,TS5A63157DBV,SOT-23-6,114.2,-66.2,90.0,top
U13,SA818S,SA818S,69.8,-75.6,270.0,bottom
U14,SA818S,SA818S,129.8,-72.05,90.0,bottom
