Designator,Footprint,Quantity,Value,LCSC Part #
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
C7,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,DNP,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
C10,C_0805_2012Metric,1,10u,C15850
RV1,Potentiometer_Bourns_3266W_Vertical,1,10k,C118956
R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,10k,C25804
C29,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,1u,C15849
R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,10k,C25804
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
C28,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,1u,C15849
R10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,300,C23025
C4,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,100n,C14663
U11,SOT-23-6,1,TS5A63157DBV,C2673185
C38,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,100n,C14663
C6,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,100n,C14663
C18,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,100n,C14663
J7,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
D4,LED_0805_2012Metric,1,LED_Small,C2297
R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,5k1,C23186
U4,TSSOP-16_4.4x5mm_P0.65mm,1,PCA9554APW,C86803
C3,C_0805_2012Metric,1,10u,C15850
C5,C_0805_2012Metric,1,10u,C15850
C20,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,1u,C15849
C27,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,1u,C15849
SW1,PTS526SK15SMTR2LFS,1,MCU_RESET,C318884
R20,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,10,
R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,5k1,C23186
U8,SOT-23-6,1,TS5A63157DBV,C2673185
D1,LED_0805_2012Metric,1,LED_Small,C2297
C19,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,1u,C15849
C11,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,100n,C14663
C12,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,100n,C14663
U9,SOT-23-6,1,TS5A63157DBV,C2673185
U2,ESP32-A1S,1,ESP32-A1S,C277945
U12,SOT-23-6,1,TS5A63157DBV,C2673185
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C347222
C33,C_0805_2012Metric,1,10u,C15850
C17,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,1u,C15849
R17,R_0805_2012Metric,1,100k,C149504
C16,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,100n,C14663
C24,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,1u,C15849
C32,C_0805_2012Metric,1,10u,C15850
C34,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,100n,C14663
J15,SMA_Amphenol_901-144_Vertical,1,SMA,
C21,C_0805_2012Metric,1,470n,C13967
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
Q1,SOT-23,1,MMBT3904,C20526
RV2,Potentiometer_Bourns_3266W_Vertical,1,10k,C118956
C30,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,47n,C1622
C2,C_0805_2012Metric,1,10u,C15850
U10,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,LM386,C383071
R15,R_0805_2012Metric,1,150k,C17470
C26,C_0805_2012Metric,1,10u,C15850
C31,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,100n,C14663
J14,SMA_Amphenol_901-144_Vertical,1,SMA,
C13,C_0805_2012Metric,1,10u,C15850
C15,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,15p,C1644
C14,C_0805_2012Metric,1,10u,C15850
C9,C_0805_2012Metric,1,10u,C15850
R11,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,10k,C25804
C22,C_0805_2012Metric,1,2u2,C49217
L1,L_0805_2012Metric,1,L_Small,C1046
J1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
JP1,PinHeader_1x03_P2.54mm_Vertical,1,Jumper_3_Bridged12,
R9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,300,C23025
R19,R_0805_2012Metric,1,1k,C17513
FB2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,MH2029-401Y,
R14,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,5k1,C23186
R12,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,5k1,C23186
C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,100n,C14663
J9,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
Q2,SOT-23,1,MMBT3904,C20526
C37,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,100n,C14663
R16,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,1Meg,C22935
C35,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,100n,C14663
D2,LED_0805_2012Metric,1,LED_Small,C2297
C8,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,15n,C1644
R13,R_0805_2012Metric,1,2k2,C17520
R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,1Meg,C22935
J6,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle,C319148
R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,300,C23025
C25,C_0805_2012Metric,1,10u,C15850
C36,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,100n,C14663
U7,DFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm,1,MAX9814,C41714
FL2,Filter_Mini-Circuits_FV1206,1,LFCN-160,
D3,D_SOD-123,1,D_Small,
U14,SA818S,1,SA818S,C3001549
FL1,Filter_Mini-Circuits_FV1206,1,LFCN-160,
U13,SA818S,1,SA818S,C3001549
